Date,PE,PB,DivYield
2016-02-03,19.65,2.95,1.57
2016-02-04,19.76,2.97,1.56
2016-02-05,19.99,3.0,1.54
2016-02-08,19.69,2.96,1.57
2016-02-09,19.46,2.93,1.58
2016-02-10,19.27,2.89,1.6
2016-02-11,18.65,2.8,1.66
2016-02-12,18.67,2.8,1.66
2016-02-15,19.32,2.87,1.61
2016-02-16,19.01,2.83,1.64
2016-02-17,19.18,2.85,1.63
2016-02-18,19.44,2.89,1.61
2016-02-19,19.5,2.89,1.6
2016-02-22,19.56,2.9,1.6
2016-02-23,19.23,2.85,1.63
2016-02-24,18.98,2.82,1.65
2016-02-25,18.85,2.8,1.66
2016-02-26,19.01,2.82,1.65
2016-02-29,18.9,2.81,1.66
2016-03-01,19.53,2.9,1.6
2016-03-02,19.93,2.96,1.57
2016-03-03,20.22,3.0,1.55
2016-03-04,20.24,3.01,1.55
2016-03-08,20.2,3.0,1.55
2016-03-09,20.33,3.02,1.54
2016-03-10,20.2,3.0,1.55
2016-03-11,20.27,3.01,1.54
2016-03-14,20.35,3.02,1.54
2016-03-15,20.14,2.99,1.55
2016-03-16,20.24,3.0,1.55
2016-03-17,20.28,3.01,1.54
2016-03-18,20.52,3.05,1.52
2016-03-21,20.79,3.09,1.5
2016-03-22,20.82,3.09,1.5
2016-03-23,20.83,3.09,1.5
2016-03-28,20.55,3.05,1.52
2016-03-29,20.5,3.04,1.52
2016-03-30,20.88,3.1,1.49
2016-03-31,20.89,3.1,1.49
2016-04-01,21.19,3.26,1.45
2016-04-04,21.31,3.28,1.44
2016-04-05,20.88,3.21,1.47
2016-04-06,20.91,3.22,1.47
2016-04-07,20.73,3.19,1.48
2016-04-08,20.75,3.19,1.48
2016-04-11,21.07,3.24,1.45
2016-04-12,21.17,3.26,1.45
2016-04-13,21.56,3.32,1.42
2016-04-18,21.68,3.34,1.41
2016-04-20,21.59,3.34,1.41
2016-04-21,21.59,3.34,1.41
2016-04-22,21.55,3.29,1.36
2016-04-25,21.4,3.27,1.37
2016-04-26,21.6,3.32,1.35
2016-04-27,21.66,3.33,1.35
2016-04-28,21.3,3.27,1.37
2016-04-29,21.24,3.27,1.37
2016-05-02,21.25,3.25,1.38
2016-05-03,21.08,3.23,1.39
2016-05-04,20.88,3.21,1.39
2016-05-05,20.96,3.22,1.39
2016-05-06,20.91,3.22,1.39
2016-05-09,21.24,3.28,1.37
2016-05-10,21.3,3.29,1.36
2016-05-11,21.19,3.27,1.37
2016-05-12,21.33,3.29,1.36
2016-05-13,21.1,3.26,1.38
2016-05-16,21.54,3.28,1.37
2016-05-17,21.62,3.29,1.36
2016-05-18,21.57,3.28,1.37
2016-05-19,21.33,3.24,1.38
2016-05-20,21.19,3.22,1.39
2016-05-23,21.13,3.22,1.39
2016-05-24,21.16,3.22,1.39
2016-05-25,22.07,3.3,1.36
2016-05-26,22.39,3.36,1.33
2016-05-27,22.66,3.4,1.32
2016-05-30,22.69,3.41,1.31
2016-05-31,22.6,3.4,1.32
2016-06-01,22.65,3.41,1.31
2016-06-02,22.76,3.43,1.31
2016-06-03,22.77,3.43,1.31
2016-06-06,22.71,3.42,1.31
2016-06-07,22.69,3.44,1.3
2016-06-08,22.71,3.45,1.3
2016-06-09,22.52,3.42,1.31
2016-06-10,22.43,3.38,1.28
2016-06-13,22.26,3.36,1.29
2016-06-14,22.26,3.36,1.29
2016-06-15,22.53,3.4,1.27
2016-06-16,22.35,3.37,1.28
2016-06-17,22.43,3.36,1.28
2016-06-20,22.62,3.39,1.27
2016-06-21,22.56,3.38,1.27
2016-06-22,22.52,3.37,1.27
2016-06-23,22.7,3.4,1.26
2016-06-24,22.2,3.29,1.28
2016-06-27,22.22,3.29,1.28
2016-06-28,22.31,3.3,1.28
2016-06-29,22.52,3.33,1.26
2016-06-30,22.75,3.37,1.25
2016-07-01,22.86,3.38,1.25
2016-07-04,22.98,3.4,1.24
2016-07-05,22.88,3.39,1.24
2016-07-07,22.89,3.39,1.24
2016-07-08,22.85,3.38,1.25
2016-07-11,23.25,3.44,1.23
2016-07-12,23.37,3.46,1.22
2016-07-13,23.37,3.46,1.22
2016-07-14,23.49,3.48,1.21
2016-07-15,23.43,3.47,1.21
2016-07-18,23.34,3.46,1.22
2016-07-19,23.39,3.46,1.22
2016-07-20,23.49,3.48,1.21
2016-07-21,23.34,3.46,1.22
2016-07-22,23.43,3.47,1.21
2016-07-25,23.69,3.44,1.23
2016-07-26,23.56,3.39,1.28
2016-07-27,23.63,3.4,1.27
2016-07-28,23.69,3.42,1.26
2016-07-29,23.62,3.38,1.27
2016-08-01,23.61,3.38,1.27
2016-08-02,23.58,3.38,1.27
2016-08-03,23.36,3.35,1.28
2016-08-04,23.38,3.35,1.28
2016-08-05,23.74,3.4,1.26
2016-08-08,23.82,3.41,1.26
2016-08-09,23.73,3.4,1.26
2016-08-10,23.44,3.36,1.28
2016-08-11,23.49,3.34,1.26
2016-08-12,23.71,3.36,1.24
2016-08-16,23.63,3.35,1.25
2016-08-17,23.58,3.34,1.25
2016-08-18,23.71,3.36,1.24
2016-08-19,23.7,3.31,1.25
2016-08-22,23.59,3.3,1.25
2016-08-23,23.73,3.3,1.25
2016-08-24,23.78,3.31,1.25
2016-08-25,23.62,3.29,1.26
2016-08-26,23.5,3.27,1.25
2016-08-29,23.6,3.29,1.24
2016-08-30,23.97,3.34,1.22
2016-08-31,24.09,3.36,1.22
2016-09-01,24.06,3.35,1.22
2016-09-02,24.15,3.36,1.22
2016-09-06,24.52,3.42,1.2
2016-09-07,24.45,3.4,1.2
2016-09-08,24.54,3.41,1.2
2016-09-09,24.31,3.38,1.21
2016-09-12,23.89,3.32,1.23
2016-09-14,23.92,3.33,1.23
2016-09-15,23.97,3.33,1.23
2016-09-16,24.07,3.34,1.26
2016-09-19,24.15,3.34,1.25
2016-09-20,24.06,3.33,1.26
2016-09-21,24.11,3.33,1.26
