Date,PE,PB,DivYield
2016-01-01,25.43,2.11,1.56
2016-02-01,21.55,1.96,1.68
2016-03-01,23.79,2.16,1.52
2018-04-01,52.41,3.44,0.61
2018-05-01,53.98,3.2,0.66
2018-06-01,48.36,3.1,0.67
2018-07-01,61.16,3.15,0.67
2018-08-01,60.03,3.24,0.68
2018-09-01,47.19,2.52,1.02
2018-10-01,46.39,2.49,1.04
2018-11-01,42.27,2.57,1.02
2018-12-01,42.29,2.59,1.03
2019-01-01,37.87,2.46,1.09
2019-02-01,37.0,2.46,1.1
2019-03-01,33.81,2.6,1.12
2019-04-01,32.51,2.5,1.16
2019-05-01,31.82,2.6,1.14
2019-06-01,30.96,2.45,1.26
2019-07-01,29.99,2.14,1.42
2019-08-01,30.0,2.07,1.34
2019-09-01,23.7,2.35,1.28
2019-10-01,24.87,2.45,1.2
2019-11-01,25.3,2.51,1.18
2019-12-01,24.95,2.59,1.11
2020-01-01,26.26,2.61,1.07
2020-02-01,25.04,2.43,1.15
2020-03-01,17.47,1.69,1.64
2020-04-01,20.16,1.95,1.42
2020-05-01,19.61,1.92,1.45
2020-06-01,88.29,1.97,1.49
2020-07-01,,2.03,1.53
2020-08-01,,2.17,1.5
2020-09-01,,2.13,2.14
2020-10-01,,2.22,2.1
2020-11-01,,2.57,1.82
2020-12-01,,2.72,1.72
2021-01-01,96.24,2.74,1.69
2021-02-01,89.06,3.02,1.51
2021-03-01,41.85,2.86,0.92
2021-04-01,42.4,2.92,0.96
2021-05-01,37.83,3.11,0.85
2021-06-01,34.44,3.19,0.83
2021-07-01,34.49,3.13,0.85
2021-08-01,26.88,3.13,0.91
2021-09-01,32.02,3.45,0.97
2021-10-01,30.47,3.59,0.94
2021-11-01,27.96,3.5,0.99
2021-12-01,28.89,3.62,0.98
2022-01-01,28.75,3.6,0.98
2022-02-01,25.35,3.35,1.2
2022-03-01,25.43,3.42,1.09
2022-04-01,25.41,3.44,1.07
2022-05-01,21.83,3.24,1.14
2022-06-01,20.57,3.04,1.34
2022-07-01,22.42,3.28,1.2
2022-08-01,24.03,3.35,1.25
2022-09-01,22.81,2.88,1.32
2022-10-01,22.64,2.96,1.28
2022-11-01,24.68,3.01,1.25
2022-12-01,24.48,2.99,1.22
2023-01-01,23.5,2.91,1.31
2023-02-01,22.28,2.85,1.32
2023-03-01,21.68,2.47,1.4
2023-04-01,22.98,2.83,1.32
2023-05-01,23.17,3.0,1.25
2023-06-01,24.66,3.17,1.25
2023-07-01,25.42,3.26,1.19
2023-08-01,23.06,3.25,1.17
2023-09-01,25.1,3.24,0.95
2023-10-01,23.4,3.11,0.99
2023-11-01,22.99,3.44,0.91
2023-12-01,24.65,3.7,0.84
2024-01-01,25.78,3.89,0.8
2024-02-01,25.06,3.87,0.83
2024-03-01,32.89,4.22,0.76
2024-04-01,34.53,4.46,0.73
2024-05-01,38.97,4.69,0.72
2024-06-01,41.74,5.01,0.68
2024-07-01,45.41,5.17,0.65
2024-08-01,44.21,5.2,0.68
2024-09-01,44.95,5.58,0.7
2024-10-01,42.24,5.13,0.76
2024-11-01,41.3,5.09,0.81
2024-12-01,42.9,5.25,0.78
2025-01-01,37.98,4.94,0.84
2025-02-01,32.5,4.4,0.89
2025-03-01,32.49,4.55,0.91
2025-04-01,32.79,4.67,0.85
2025-05-01,32.84,4.95,0.83
2025-06-01,33.66,5.05,0.82
2025-07-01,31.95,4.56,0.9
2025-08-01,30.37,4.13,0.92
2025-09-01,32.7,4.04,0.86
2025-10-01,34.33,4.27,0.82
2025-11-01,33.63,4.39,0.8
2025-12-01,33.84,4.39,0.79
2026-01-01,32.07,4.25,0.83
