Date,Year,Month,Index,PE_Ratio,PB_Ratio,Div_Yield
2016-01-01,2016,1,Nifty 100,20.24,2.96,1.57
2016-02-01,2016,2,Nifty 100,19.08,2.74,1.7
2016-03-01,2016,3,Nifty 100,21.06,3.02,1.53
2016-04-01,2016,4,Nifty 100,21.41,3.17,1.42
2016-05-01,2016,5,Nifty 100,22.84,3.28,1.37
2016-06-01,2016,6,Nifty 100,23.18,3.27,1.31
2016-07-01,2016,7,Nifty 100,24.32,3.33,1.31
2016-08-01,2016,8,Nifty 100,24.83,3.3,1.26
2016-09-01,2016,9,Nifty 100,24.34,3.28,1.33
2016-10-01,2016,10,Nifty 100,24.25,3.29,1.32
2016-11-01,2016,11,Nifty 100,22.23,3.17,1.38
2016-12-01,2016,12,Nifty 100,22.4,3.13,1.4
2017-01-01,2017,1,Nifty 100,23.46,3.3,1.33
2017-02-01,2017,2,Nifty 100,23.43,3.43,1.29
2017-03-01,2017,3,Nifty 100,23.81,3.5,1.27
2017-04-01,2017,4,Nifty 100,24.3,3.57,1.24
2017-05-01,2017,5,Nifty 100,25.01,3.64,1.2
2017-06-01,2017,6,Nifty 100,24.68,3.56,1.14
2017-07-01,2017,7,Nifty 100,26.18,3.56,0.99
2017-08-01,2017,8,Nifty 100,26.4,3.54,0.98
2017-09-01,2017,9,Nifty 100,26.32,3.33,1.17
2017-10-01,2017,10,Nifty 100,27.44,3.48,1.07
2017-11-01,2017,11,Nifty 100,27.48,3.46,1.1
2017-12-01,2017,12,Nifty 100,28.32,3.56,1.06
2018-01-01,2018,1,Nifty 100,28.79,3.7,1.02
2018-02-01,2018,2,Nifty 100,26.93,3.53,1.12
2018-03-01,2018,3,Nifty 100,25.87,3.41,1.27
2018-04-01,2018,4,Nifty 100,27.75,3.68,1.18
2018-05-01,2018,5,Nifty 100,28.03,3.65,1.22
2018-06-01,2018,6,Nifty 100,27.34,3.56,1.21
2018-07-01,2018,7,Nifty 100,29.88,3.66,1.19
2018-08-01,2018,8,Nifty 100,29.89,3.72,1.14
2018-09-01,2018,9,Nifty 100,27.58,3.52,1.2
2018-10-01,2018,10,Nifty 100,26.2,3.35,1.24
2018-11-01,2018,11,Nifty 100,27.63,3.49,1.19
2018-12-01,2018,12,Nifty 100,27.59,3.45,1.19
2019-01-01,2019,1,Nifty 100,27.46,3.41,1.2
2019-02-01,2019,2,Nifty 100,27.63,3.44,1.21
2019-03-01,2019,3,Nifty 100,30.46,3.76,1.1
2019-04-01,2019,4,Nifty 100,30.68,3.79,1.09
2019-05-01,2019,5,Nifty 100,30.78,3.85,1.18
2019-06-01,2019,6,Nifty 100,30.43,3.75,1.2
2019-07-01,2019,7,Nifty 100,28.83,3.49,1.3
2019-08-01,2019,8,Nifty 100,28.82,3.37,1.36
2019-09-01,2019,9,Nifty 100,27.58,3.53,1.29
2019-10-01,2019,10,Nifty 100,28.59,3.67,1.25
2019-11-01,2019,11,Nifty 100,29.03,3.72,1.23
2019-12-01,2019,12,Nifty 100,30.68,3.76,1.23
2020-01-01,2020,1,Nifty 100,28.82,3.42,1.26
2020-02-01,2020,2,Nifty 100,27.96,3.2,1.34
2020-03-01,2020,3,Nifty 100,21.34,2.49,1.74
2020-04-01,2020,4,Nifty 100,24.6,2.85,1.52
2020-05-01,2020,5,Nifty 100,24.71,2.76,1.56
2020-06-01,2020,6,Nifty 100,26.89,3.05,1.48
2020-07-01,2020,7,Nifty 100,30.54,3.2,1.43
2020-08-01,2020,8,Nifty 100,32.4,3.25,1.4
2020-09-01,2020,9,Nifty 100,33.06,3.24,1.4
2020-10-01,2020,10,Nifty 100,32.43,3.35,1.36
2020-11-01,2020,11,Nifty 100,35.95,3.72,1.22
2020-12-01,2020,12,Nifty 100,38.79,4.02,1.13
2021-01-01,2021,1,Nifty 100,36.9,3.91,1.15
2021-02-01,2021,2,Nifty 100,39.49,4.17,1.08
2021-03-01,2021,3,Nifty 100,34.36,4.25,0.98
2021-04-01,2021,4,Nifty 100,33.47,4.26,1.02
2021-05-01,2021,5,Nifty 100,29.66,4.5,1.05
2021-06-01,2021,6,Nifty 100,28.83,4.36,1.22
2021-07-01,2021,7,Nifty 100,27.5,4.23,1.17
2021-08-01,2021,8,Nifty 100,26.74,4.43,1.05
2021-09-01,2021,9,Nifty 100,27.04,4.42,1.17
2021-10-01,2021,10,Nifty 100,25.89,4.42,1.12
2021-11-01,2021,11,Nifty 100,23.46,4.27,1.17
2021-12-01,2021,12,Nifty 100,24.08,4.38,1.21
2022-01-01,2022,1,Nifty 100,23.38,4.36,1.21
2022-02-01,2022,2,Nifty 100,21.62,4.23,1.27
2022-03-01,2022,3,Nifty 100,22.86,4.5,1.17
2022-04-01,2022,4,Nifty 100,22.22,4.44,1.19
2022-05-01,2022,5,Nifty 100,20.53,4.27,1.5
2022-06-01,2022,6,Nifty 100,19.54,4.05,1.51
2022-07-01,2022,7,Nifty 100,20.9,4.18,1.41
2022-08-01,2022,8,Nifty 100,21.8,4.23,1.48
2022-09-01,2022,9,Nifty 100,21.34,4.19,1.37
2022-10-01,2022,10,Nifty 100,22.07,4.38,1.31
2022-11-01,2022,11,Nifty 100,23.36,4.54,1.33
2022-12-01,2022,12,Nifty 100,22.66,4.39,1.3
2023-01-01,2023,1,Nifty 100,21.51,4.23,1.43
2023-02-01,2023,2,Nifty 100,21.08,4.1,1.49
2023-03-01,2023,3,Nifty 100,21.2,4.04,1.47
